clave_estado,estres_hidrico,dma_promedio_hm3,acuiferos_sobreexplotados,total_acuiferos,tasa_pobreza,tasa_pobreza_extrema,rezago_educativo,escolaridad_promedio,indice_marginacion,fecundidad_adolescente,feminicidio_tasa,total_docentes,total_grupos,total_alumnos,ratio_docentes_grupo,docentes_por_alumno,acceso_agua_diaria,acceso_drenaje,violencia_mujeres,horas_domestico_mujeres,horas_domestico_hombres,brecha_trabajo_domestico,brecha_salarial_genero,participacion_laboral_femenina,coeficiente_gini,concentracion_ingreso_top10,nombre_estado
19,0.5652,-11.807,13,23,0.160404460395,0.010717830702,0.135154573843,10.741,23.4443183234979,62.570887653580925,0.1644,60274,49158,1299356,1.2261,0.046388,0.989259,0.987387,68.12,3.8438,2.6729,1.1709,0.080456,0.466495,0.455,0.306052,Nuevo León
20,0.0952,15.681,2,21,0.58440346184,0.202324348529,0.291302411198,8.1185,13.2164094569373,69.85280387543548,0.2237,52553,54897,967745,0.9573,0.054305,0.899391,0.803449,67.05,5.3942,3.4826,1.9115,0.008534,0.448383,0.4532,0.333932,Oaxaca
21,0.3333,5.147,2,6,0.540172651267,0.11401635066700001,0.21898282244700001,9.1605,17.7215996703583,76.78081987478829,0.0607,69069,65681,1651107,1.0516,0.041832,0.954452,0.950629,70.78,3.9603,3.6808,0.2795,-0.038682,0.466387,0.4386,0.294522,Puebla
22,0.6364,-8.58,7,11,0.21690722032700002,0.017179325652,0.176099503107,10.4846,20.8381896715953,59.73919713628228,0.0,24236,20848,551547,1.1625,0.043942,0.976472,0.97148,75.24,3.6297,2.6446,0.9851,0.151394,0.464688,0.4214,0.283725,Querétaro
23,0.0,103.621,0,2,0.269660148973,0.04151462686,0.16522855919200002,10.2393,20.6288619388062,65.41175828225884,0.0,20244,15217,418749,1.3304,0.048344,0.97209,0.968944,70.45,4.7229,2.321,2.4019,-0.062414,0.526442,0.4623,0.287773,Quintana Roo
24,0.5789,-8.128,11,19,0.355227592699,0.074126901016,0.205576706963,9.6131,18.6880088500625,67.17997173177987,0.0,33640,32803,666259,1.0255,0.050491,0.924983,0.907588,68.56,4.759,2.4877,2.2712,-0.0389,0.475394,0.4398,0.294685,San Luis Potosí
25,0.5714,-0.072,8,14,0.216388114638,0.018079731652,0.170028300484,10.2235,20.5098520710059,67.94047318471434,0.13,38073,29569,727038,1.2876,0.052367,0.983943,0.969154,66.21,4.41,2.8723,1.5377,0.105644,0.499361,0.3955,0.289643,Sinaloa
26,0.3833,-4.727,23,60,0.216931100455,0.017071789371000002,0.145653386273,10.4032,21.4056402516913,62.04649672295003,0.0651,31837,26937,655348,1.1819,0.04858,0.984728,0.951922,71.63,4.3086,2.248,2.0606,-0.075458,0.49936,0.4425,0.30049,Sonora
27,0.0,940.764,0,8,0.46474094140399996,0.11156606201000001,0.17933754963600002,9.6934,18.3324509080038,74.99931544984074,0.374,26587,23825,639254,1.1159,0.041591,0.937901,0.975252,68.65,5.8233,3.4721,2.3512,-0.079112,0.418734,0.4557,0.303228,Tabasco
28,0.2857,14.268,4,14,0.268227483836,0.028598076203000002,0.16095571767900002,10.0922,20.9965823640528,68.5266667982084,0.0571,40252,31726,778171,1.2687,0.051726,0.980855,0.947477,61.69,4.4419,2.6002,1.8418,-0.005208,0.47905,0.426,0.286066,Tamaulipas
29,0.0,15.686,0,4,0.525199807963,0.06753633170500001,0.16142382052400003,9.8332,19.8707356663471,71.45081201553563,0.0,17003,13137,333348,1.2943,0.051007,0.974988,0.965711,68.62,4.3089,3.0695,1.2394,0.030482,0.479879,0.3947,0.270177,Tlaxcala
30,0.2222,32.992,4,18,0.517324255322,0.131411739241,0.254997179778,8.7456,16.4141575044012,73.67231895646532,0.1126,97783,92836,1684383,1.0533,0.058053,0.914705,0.910307,68.2,6.3228,3.1938,3.129,-0.032608,0.403245,0.4196,0.314425,Veracruz
31,0.0,2059.635,0,1,0.387726252089,0.056040278213,0.21220093768400003,9.5947,17.51221269787,61.75446004433654,0.0903,26825,21435,534584,1.2515,0.050179,0.98636,0.921937,71.44,4.0794,3.2152,0.8642,0.029331,0.531587,0.4654,0.317502,Yucatán
32,0.5882,-10.382,20,34,0.44215888180699997,0.05125333593300001,0.20724887583600002,9.2456,19.4972318332297,72.47623729924615,0.12,18686,20126,420680,0.9285,0.044419,0.980197,0.96261,59.31,5.4563,3.7861,1.6702,-0.099798,0.397299,0.4494,0.305434,Zacatecas
